carname,mpg,cylinder,displacement,horsepower,weight,accelerate,modeyear,carname,2000
chevrolet cavalier 2-door,34,4,112,88,1.1975,18,82,chevrolet cavalier 2-door,1
pontiac j2000 se hatchback,31,4,112,85,1.2875,16.2,82,pontiac j2000 se hatchback,1
dodge aries se,29,4,135,84,1.2625,16,82,dodge aries se,1
pontiac phoenix,27,4,151,90,1.3675,18,82,pontiac phoenix,1
ford fairmont futura,24,4,140,92,1.4325,16.4,82,ford fairmont futura,1
amc concord dl,23,4,151,84,1.5175,20.5,82,amc concord dl,1
volkswagen rabbit l,36,4,105,74,0.99,15.3,82,volkswagen rabbit l,2
mazda glc custom l,37,4,91,68,1.0125,18.2,82,mazda glc custom l,3
mazda glc custom,31,4,91,68,0.985,17.6,82,mazda glc custom,3
plymouth horizon miser,38,4,105,63,1.0625,14.7,82,plymouth horizon miser,1
mercury lynx l,36,4,98,70,1.0625,17.3,82,mercury lynx l,1
nissan stanza xe,36,4,120,88,1.08,14.5,82,nissan stanza xe,3
honda accord,36,4,107,75,1.1025,14.5,82,honda accord,3
toyota corolla,34,4,108,70,1.1225,16.9,82,toyota corolla,3
honda civic,38,4,91,67,0.9825,15,82,honda civic,3
honda civic (auto),32,4,91,67,0.9825,15.7,82,honda civic (auto),3
datsun 310 gx,38,4,91,67,0.9975,16.2,82,datsun 310 gx,3
buick century limited,25,6,181,110,1.4725,16.4,82,buick century limited,1
oldsmobile cutlass ciera (diesel),38,6,262,85,1.5075,17,82,oldsmobile cutlass ciera (diesel),1
chrysler lebaron medallion,26,4,156,92,1.2925,14.5,82,chrysler lebaron medallion,1
ford granada l,22,6,232,112,1.4175,14.7,82,ford granada l,1
toyota celica gt,32,4,144,96,1.3325,13.9,82,toyota celica gt,3
dodge charger 2.2,36,4,135,84,1.185,13,82,dodge charger 2.2,1
chevrolet camaro,27,4,151,90,1.475,17.3,82,chevrolet camaro,1
ford mustang gl,27,4,140,86,1.395,15.6,82,ford mustang gl,1
vw pickup,44,4,97,52,1.065,24.6,82,vw pickup,2
dodge rampage,32,4,135,84,1.1475,11.6,82,dodge rampage,1
ford ranger,28,4,120,79,1.3125,18.6,82,ford ranger,1
chevy s-10,31,4,119,82,1.36,19.4,82,chevy s-10,1
